method,model,dataset,configuration,pass_at_1,pass_at_2,pass_at_5,pass_at_10,mrr,success_rate,total_problems
llm_judge,codet5-770m,humaneval,llm_judge_codet5-770m_humaneval,0.1132,0.1321,0.2013,0.2704,0.1578,0.4025,159
llm_judge,codet5-770m,mbpp,llm_judge_codet5-770m_mbpp,0.0808,0.1071,0.1657,0.2263,0.1258,0.4101,495
llm_judge,codellama-7b,humaneval,llm_judge_codellama-7b_humaneval,0.2453,0.3774,0.522,0.6101,0.3736,0.8616,159
llm_judge,codellama-7b,mbpp,llm_judge_codellama-7b_mbpp,0.0788,0.1192,0.1939,0.2505,0.1339,0.4242,495
llm_judge,codegen-2b,humaneval,llm_judge_codegen-2b_humaneval,0.0566,0.0692,0.0943,0.1258,0.079,0.2453,159
llm_judge,codegen-2b,mbpp,llm_judge_codegen-2b_mbpp,0.0162,0.0323,0.0808,0.1354,0.0537,0.4384,495
acecoder_rm,codet5-770m,humaneval,acecoder_rm_codet5-770m_humaneval,0.1258,0.1887,0.2516,0.283,0.1845,0.4025,159
acecoder_rm,codet5-770m,mbpp,acecoder_rm_codet5-770m_mbpp,0.0808,0.1232,0.1879,0.2566,0.1352,0.4101,495
acecoder_rm,codellama-7b,humaneval,acecoder_rm_codellama-7b_humaneval,0.1384,0.2264,0.3962,0.5283,0.2628,0.8616,159
acecoder_rm,codellama-7b,mbpp,acecoder_rm_codellama-7b_mbpp,0.097,0.1293,0.1879,0.2263,0.1417,0.4242,495
acecoder_rm,codegen-2b,humaneval,acecoder_rm_codegen-2b_humaneval,0.0377,0.044,0.0755,0.1006,0.0603,0.2453,159
acecoder_rm,codegen-2b,mbpp,acecoder_rm_codegen-2b_mbpp,0.0404,0.0606,0.103,0.1576,0.0776,0.4384,495
